,rate
28228,3.5
27659,5.0
10355,4.0
24045,5.0
37895,3.0
4443,3.0
19605,2.0
22668,4.0
7627,4.0
47680,4.5
15494,3.5
29591,4.0
46653,4.5
56807,5.0
51079,4.0
27089,4.0
42709,4.5
49384,5.0
50352,3.5
50696,4.0
19373,2.0
42175,3.0
37331,3.0
51243,5.0
8966,4.0
37952,4.0
32837,2.5
56558,1.0
7280,2.5
51355,5.0
16759,4.5
59961,5.0
27860,4.5
3372,3.5
41684,3.0
54192,1.0
16250,4.0
42221,2.5
26684,5.0
3328,4.0
6262,3.5
46617,2.5
44503,4.0
14621,1.5
2643,4.0
53443,3.5
46352,4.5
7087,5.0
48657,3.5
18192,3.0
41854,4.0
20438,3.5
38211,5.0
45144,5.0
48768,2.0
50073,4.0
24798,4.0
10505,0.5
55569,5.0
25076,4.0
4989,5.0
53279,3.5
8608,4.0
24385,5.0
29649,3.5
41670,2.0
44300,4.0
10036,5.0
7547,3.0
20539,4.0
44827,4.0
57273,1.5
54407,0.5
41533,4.0
40710,3.5
2548,5.0
38555,2.0
39688,0.5
53715,4.0
39293,3.0
48348,5.0
49343,3.5
23388,3.0
48457,3.0
45329,3.0
12765,3.0
10330,3.0
27757,0.5
52380,4.5
57394,4.0
46278,4.0
14636,3.5
27180,5.0
47939,4.5
51592,3.0
33663,4.0
22788,1.0
854,5.0
13500,4.0
19834,3.5
51908,3.0
14565,4.0
32498,4.0
55701,3.0
46431,5.0
48018,4.5
1249,4.0
6758,4.0
59625,4.0
56415,4.5
20057,3.5
40968,3.0
26539,2.5
5904,4.0
36981,3.0
23105,2.0
29590,4.0
3383,4.0
27821,3.5
36505,4.0
24070,3.0
22928,3.0
9725,3.5
40515,3.5
53965,3.5
32087,3.5
30286,4.0
14877,4.0
32687,2.0
29880,2.5
50051,5.0
24028,3.5
38811,1.0
36687,3.0
44652,3.0
33896,4.0
4856,4.0
31305,3.5
41150,5.0
11193,4.0
12088,5.0
59503,4.0
20914,5.0
9840,4.0
5699,3.0
15630,4.0
26284,4.5
12854,4.0
8588,3.0
7870,3.0
42810,4.0
49972,3.0
19271,4.0
17581,4.0
50837,2.5
56442,1.0
57838,3.0
45448,4.5
11172,4.0
29785,3.0
56965,5.0
34639,5.0
10333,2.5
10717,4.5
57747,3.5
22733,4.5
1445,1.0
666,3.5
19811,4.0
16679,5.0
53551,3.5
43971,3.0
5318,5.0
9647,4.0
2760,3.5
37051,3.0
59051,2.5
24461,4.0
15779,3.0
29538,3.5
23704,3.5
17790,3.0
21394,4.0
3753,5.0
9188,3.0
37158,4.0
4906,1.0
20906,3.0
39048,5.0
15948,4.0
25065,4.0
42524,3.0
50781,3.0
39026,1.0
8499,5.0
36034,5.0
19513,3.0
6292,3.0
5016,4.0
19140,0.5
14656,4.0
42256,2.0
44397,4.0
30289,3.0
36831,4.0
45319,5.0
41807,3.0
20383,2.0
39636,4.0
56454,4.0
44890,4.0
43359,4.0
32356,1.0
54714,3.0
5746,4.0
38464,3.0
18568,3.5
51680,4.0
57904,5.0
27981,3.0
48910,4.0
43852,4.0
58870,4.5
21210,3.0
35635,4.0
16529,3.0
6762,4.0
24355,5.0
34105,4.5
46086,5.0
17471,4.5
51707,3.0
26378,2.0
43587,5.0
19622,4.0
52615,3.0
23255,2.5
4389,2.0
4819,5.0
33100,4.5
719,3.5
56177,3.5
10471,5.0
15171,5.0
54417,2.0
6129,4.0
26641,4.0
9133,3.5
34859,3.0
18828,3.0
37266,3.5
14962,3.0
9595,5.0
7315,3.0
28758,3.0
27958,2.0
21273,3.5
21847,3.5
31371,4.0
34644,3.0
10883,2.0
20022,3.0
14557,3.0
6331,3.5
40866,4.5
56914,5.0
55196,5.0
34057,4.0
7470,3.5
33412,4.0
6303,4.0
42126,5.0
29468,4.0
42564,4.0
26695,1.0
14034,3.0
19707,1.5
12539,4.0
38925,2.0
30640,3.0
29323,3.5
56938,3.5
2189,4.5
21277,3.5
30057,3.5
46404,4.0
16411,3.0
12247,2.5
29853,3.5
21952,2.0
9718,1.5
49577,4.0
28115,4.0
7904,3.0
27339,2.0
6725,2.0
47344,4.0
25670,2.5
29105,5.0
51230,3.0
31336,4.0
1202,1.0
31296,3.5
10485,3.0
13074,2.5
39321,5.0
33131,4.0
22472,3.5
4420,4.0
4292,3.0
56798,4.5
27211,1.0
6420,3.0
59378,3.0
15279,4.0
19846,4.0
25256,4.0
25674,5.0
34276,4.5
50403,4.0
58465,4.0
57755,3.0
52635,3.0
53439,4.5
23329,5.0
377,3.0
46489,5.0
17585,2.0
32350,3.0
5678,3.0
25300,4.0
30088,5.0
6577,2.5
6043,3.5
38288,4.0
15722,1.0
32315,4.5
40641,4.5
19363,4.0
29522,3.0
33955,2.5
57593,1.0
19871,4.0
49395,5.0
46200,3.0
20358,4.0
48982,4.0
41307,4.0
10389,5.0
57600,4.5
15789,1.0
17551,4.0
40635,4.0
13617,4.5
31733,4.5
13711,3.5
42769,5.0
16409,4.0
29928,5.0
49573,3.5
49034,4.0
43476,3.0
35377,4.0
48505,3.5
43455,4.0
29032,3.0
35864,3.0
46289,4.0
23912,2.0
31160,4.0
37588,3.0
42168,4.0
29233,5.0
35429,1.0
32827,1.0
33960,4.0
42961,3.0
59560,4.0
58318,2.5
33543,4.5
24175,5.0
23459,5.0
35416,2.0
7143,3.0
13826,3.0
44051,4.5
42928,3.0
34316,5.0
34618,3.0
56809,3.0
39869,4.0
25680,4.0
47864,3.0
44857,3.0
12341,5.0
49537,5.0
38920,3.0
43111,4.5
5108,2.0
34599,3.5
50315,3.0
41536,2.5
9424,3.5
48179,3.5
15080,4.5
35986,3.0
49194,4.0
27778,3.0
30861,5.0
22423,4.0
8107,3.0
53243,4.0
29555,5.0
17346,4.5
40046,4.5
41987,4.5
1730,4.0
32887,3.0
2218,4.5
9793,4.0
51864,4.5
35733,1.0
34039,3.0
44133,3.5
50643,3.5
24171,4.0
59371,3.5
45668,3.0
29935,5.0
5453,3.0
10770,5.0
50374,4.0
46076,3.0
49472,5.0
58191,4.5
18189,4.0
55718,4.0
1624,2.0
27033,3.0
8492,4.0
50089,4.0
12941,4.5
54119,4.5
41155,3.0
56455,4.0
18066,3.0
42180,2.5
18369,5.0
14058,4.0
5065,4.0
30323,3.0
29997,4.0
38949,3.0
37017,3.0
22919,3.0
3887,5.0
51103,4.0
23749,3.0
39732,2.5
19147,4.0
51880,3.5
45008,4.0
44854,5.0
10554,3.0
8783,3.0
21329,3.0
39855,3.0
21907,4.0
18133,3.0
48351,2.0
26108,3.0
39664,2.5
752,3.5
46024,2.0
54892,4.0
55448,5.0
54118,5.0
10842,5.0
16052,4.0
46563,1.5
41865,4.0
42457,3.5
16400,3.0
43336,5.0
56403,3.5
36816,4.0
14794,4.0
54751,2.0
19629,4.0
24794,4.0
14907,4.0
4883,4.0
53803,4.5
54927,4.0
3394,3.0
12549,4.0
43926,2.5
46175,2.0
3705,5.0
9527,4.0
56215,2.0
3635,4.0
37155,4.0
48703,2.0
9458,5.0
28518,4.0
42820,5.0
37383,3.5
38796,5.0
10960,3.5
35119,4.0
32081,3.5
56619,5.0
58025,3.0
2,3.5
11960,3.0
13098,3.0
13513,4.5
41588,2.0
29534,4.0
12445,4.5
44902,3.0
44752,2.5
24844,3.5
31374,4.0
24687,3.0
48867,4.0
7708,4.5
28646,4.0
2468,2.0
42055,3.0
55677,1.0
15541,2.0
53302,3.0
50533,3.5
38327,2.5
45808,1.5
54858,3.5
39545,4.0
52042,5.0
6817,4.0
46887,2.5
36750,4.0
5490,2.5
34111,4.0
31643,5.0
12480,4.0
33014,4.0
45036,4.0
49962,3.5
15936,4.5
26187,5.0
31070,3.5
15885,3.0
7831,1.0
9717,2.5
45582,4.0
36087,3.0
19101,5.0
32803,4.0
40660,5.0
35227,3.0
5781,3.5
20932,5.0
46826,3.0
27761,5.0
54933,2.0
10064,4.5
27664,5.0
16598,3.5
59524,5.0
45729,4.0
17568,3.0
5730,1.0
22690,2.5
18472,3.0
9890,5.0
39380,4.5
27965,2.0
11888,2.5
35952,3.0
55421,4.0
2980,4.0
17430,2.5
59622,4.0
44072,2.0
39092,4.0
38205,3.0
15237,5.0
17177,5.0
35408,5.0
53684,3.5
38485,3.0
14908,4.0
14708,4.0
42921,4.0
32427,3.0
55871,4.0
30524,1.0
58942,5.0
51732,3.0
47914,3.5
39301,5.0
36756,4.5
53880,5.0
36311,4.0
6598,5.0
24753,4.0
5840,5.0
48522,5.0
47202,4.5
14993,1.5
27310,3.5
14299,4.0
29874,4.0
10812,4.0
52876,2.5
38297,3.5
14776,3.0
52728,4.0
57798,5.0
43676,5.0
29478,3.0
25208,4.0
46681,4.0
22534,5.0
34127,4.0
23109,4.0
12132,4.5
16286,0.5
23903,4.5
57127,4.0
16253,4.0
20505,3.0
38580,2.5
38784,4.0
37001,5.0
9314,5.0
45323,4.0
5045,1.0
21791,5.0
52313,3.0
18884,4.0
40707,4.0
15945,4.0
30509,4.0
29314,4.5
19315,4.0
31309,3.0
16921,3.0
1566,4.5
437,4.0
28302,1.5
51302,2.5
39570,2.0
13726,4.5
19702,3.0
3343,4.0
23185,2.5
51792,4.0
54887,4.0
50962,4.5
18968,2.0
16083,3.0
57386,4.0
49487,3.0
25289,3.5
38497,4.0
57430,3.0
4745,1.5
15548,3.0
1815,4.5
27820,3.0
35493,4.0
2794,4.0
1853,4.0
35364,1.0
46872,3.5
32756,4.5
2223,3.0
34436,5.0
29827,5.0
42298,3.0
15888,3.0
40067,4.0
9942,4.5
21130,4.0
43252,3.5
49849,4.0
46775,3.0
25586,4.0
14529,5.0
49510,2.0
20901,3.0
17822,3.5
25025,4.0
35233,4.0
20673,3.0
34356,5.0
59856,2.0
54310,3.0
24796,1.0
24802,1.5
19291,4.0
7344,4.5
39274,4.0
41006,4.5
56533,3.0
41939,3.5
53842,3.0
6141,3.0
37897,3.5
29808,3.5
14551,3.5
30155,4.0
12896,3.5
12902,3.5
36936,3.0
41772,3.5
48629,2.0
53177,4.0
51751,4.0
39125,2.5
45068,5.0
57737,4.0
31183,1.5
50002,3.0
59305,4.0
57682,4.0
39549,2.0
43650,3.5
15719,3.5
55624,3.0
6949,3.0
43534,4.0
26625,4.0
41363,4.0
11737,1.0
53339,3.0
37816,5.0
45127,4.0
10937,2.5
38908,3.0
41090,5.0
15466,4.0
975,5.0
18920,4.0
59793,4.5
10587,4.0
27565,4.0
59183,1.0
15740,4.0
34935,4.0
59700,4.0
25502,2.5
28881,5.0
57664,3.0
38720,1.0
41945,4.0
22016,4.0
59355,4.0
11942,5.0
36270,1.0
14788,3.0
43332,4.0
51580,5.0
10808,5.0
53131,5.0
51564,5.0
35785,3.0
58856,3.0
13470,4.0
22542,3.0
59768,4.0
32018,3.0
45709,2.0
8388,4.0
9319,4.0
16631,3.5
12099,5.0
11160,2.0
19731,4.0
21389,3.5
15342,4.0
12361,4.0
134,2.5
1721,3.5
42560,5.0
39238,4.0
50137,1.0
27287,3.0
12220,5.0
9720,5.0
20798,4.0
19991,5.0
22680,4.0
59613,4.0
14280,3.0
29365,3.5
11851,4.0
26938,3.5
41571,3.5
37693,4.0
36839,4.5
16498,3.5
5868,3.0
53544,3.5
29693,4.0
20061,2.0
28289,5.0
55699,4.0
44951,4.0
44173,5.0
26769,4.0
39943,3.5
29579,4.0
42525,3.0
7551,2.5
19381,4.0
58654,4.0
16608,3.5
44863,4.0
27939,4.0
29704,4.5
5775,3.0
26554,3.0
9601,4.0
22090,1.5
43721,3.0
3691,1.5
5785,4.0
46568,4.0
49049,5.0
21080,1.5
56470,3.0
24081,3.0
20286,5.0
59027,4.0
28435,3.0
8739,2.0
25223,4.0
57607,3.0
3270,4.5
11797,2.0
51105,4.0
16528,3.0
15730,2.0
11474,1.0
15794,5.0
32047,3.5
20062,4.0
28134,1.0
5313,3.0
58881,4.5
29540,1.0
13343,2.0
58625,4.5
16664,4.5
27521,4.0
2737,4.0
1905,3.5
26563,1.0
59001,3.5
4116,5.0
15692,4.0
10049,5.0
1365,3.0
44003,5.0
5464,4.0
37352,4.0
6607,4.0
6942,4.5
18333,5.0
21275,4.0
24145,3.0
37664,4.0
39929,1.0
22302,3.0
20461,4.0
45911,1.0
47029,4.0
18864,5.0
17641,4.0
44294,3.0
37489,3.5
7161,4.0
5762,4.0
783,3.0
53184,5.0
29461,4.0
17500,3.0
7119,1.5
326,4.0
19199,1.0
11952,2.5
81,4.0
30749,4.5
8681,4.0
58900,3.0
33052,3.0
56841,3.0
1672,4.0
2177,3.5
35611,4.0
3009,4.0
59295,3.5
14485,5.0
38329,4.0
58022,3.0
42307,3.0
54167,4.0
6345,5.0
25463,2.0
24301,3.0
6874,3.0
25762,3.0
21688,4.0
18785,4.0
21449,3.0
55758,3.0
31022,3.0
16393,3.0
14231,5.0
23650,3.0
56946,4.0
56307,3.0
7657,3.5
51508,3.5
11228,4.0
6523,4.0
27964,2.0
56891,3.0
16779,4.0
8538,4.0
35390,5.0
32464,4.0
27272,0.5
53555,4.0
17437,1.0
10660,3.0
24611,1.0
30142,3.5
58229,4.0
59538,2.0
25475,4.5
27040,5.0
16126,2.0
17287,4.0
32921,4.5
29912,4.0
24131,4.0
48416,3.5
57719,4.0
832,3.0
55762,2.0
26498,4.0
21639,1.5
37725,1.5
53501,2.5
57162,1.0
31533,4.5
45528,3.5
52723,4.0
28369,5.0
40731,2.5
45269,5.0
40535,3.0
55408,4.5
27538,4.0
57221,4.0
24837,4.5
45049,3.0
36115,2.0
42934,4.5
52661,3.0
9683,4.0
54359,2.5
18334,5.0
10458,3.5
27189,4.0
41923,5.0
54691,2.0
1838,4.0
43665,3.0
37598,3.5
57437,4.0
51107,4.5
23945,5.0
41243,5.0
42901,0.5
22676,4.0
23840,1.0
7810,3.0
53152,5.0
54550,5.0
27938,4.0
40796,5.0
29036,4.0
46757,2.0
42295,3.5
43296,4.0
6249,4.0
6302,4.0
59574,3.0
9995,4.0
49214,2.5
10414,3.0
33006,4.0
14000,3.0
9749,4.0
54985,2.0
18521,5.0
48283,4.0
27808,4.0
12277,4.0
47004,3.0
4076,4.0
48160,3.5
15207,4.5
18548,3.0
18208,4.0
12512,4.5
48247,5.0
20388,4.5
13415,3.0
28222,3.0
6481,4.0
29869,4.0
57367,1.0
48156,5.0
13217,1.0
2878,4.0
1048,4.0
3902,4.0
42581,3.5
3166,3.0
49550,1.0
58983,3.5
35546,3.0
59779,1.0
57967,1.0
33111,3.0
33313,3.0
1701,2.0
45043,3.0
8925,4.0
28636,4.0
11397,4.0
2521,3.5
50876,2.0
59390,1.5
835,3.0
24737,3.5
32981,4.0
56104,2.5
25647,5.0
43487,4.0
23241,4.0
52142,4.0
14787,4.0
38737,4.0
12645,4.0
39427,2.5
15087,4.5
30104,3.0
981,4.0
5978,4.0
47356,4.0
11924,5.0
37599,3.5
3447,3.0
30329,3.0
59938,4.0
52375,4.0
463,1.0
34306,0.5
53791,3.0
55870,3.5
20224,3.0
390,3.5
49688,3.0
47574,2.5
25190,2.0
47526,3.0
14351,4.0
45313,1.5
54501,3.0
11232,4.5
30963,3.0
24052,2.0
58068,4.0
2376,4.0
11458,2.0
50848,4.0
5848,1.0
21416,4.0
46484,4.0
20038,0.5
16216,2.5
39670,4.0
44076,2.5
18049,4.0
57753,1.0
48976,4.0
56363,4.0
10931,5.0
38537,5.0
12478,4.0
18245,4.0
32006,3.5
18599,4.5
17275,3.0
35552,5.0
39381,3.0
18351,4.0
48811,3.0
24473,5.0
24490,5.0
29776,4.0
32541,3.5
55641,3.5
477,5.0
39649,4.0
26748,2.5
12276,3.0
14844,4.0
27463,5.0
20579,4.0
12842,5.0
39273,2.0
9450,4.0
58579,2.0
20718,3.5
27101,5.0
20669,4.0
54556,5.0
23547,3.0
43630,2.5
1553,3.0
49370,1.0
48290,4.0
8415,4.0
43257,4.0
23884,3.5
59203,4.5
53982,4.0
3179,2.0
6764,4.5
13481,5.0
21181,5.0
13911,2.0
1072,4.5
43137,3.5
20658,4.5
13965,3.0
46420,3.0
49146,4.5
56495,5.0
42714,4.5
10985,1.5
46984,4.0
575,5.0
41383,3.5
44856,3.0
6931,4.5
35094,4.0
22310,4.0
17560,4.0
44718,4.0
13524,4.0
247,3.0
7475,5.0
12365,2.0
4529,2.0
328,4.5
35846,3.5
22714,3.0
33021,4.0
16346,4.0
51283,3.0
26589,3.0
28803,4.0
1168,1.5
8831,3.0
13646,4.0
6104,3.0
26785,4.0
17211,4.0
5984,5.0
20534,1.0
1918,4.0
2076,3.0
45046,3.0
36222,3.0
33588,4.0
17601,2.5
16128,2.5
33053,3.0
4075,4.5
7876,3.5
42539,4.0
48208,4.0
9241,3.0
54180,4.0
40295,3.5
43864,4.0
5651,4.5
40091,3.5
34540,3.0
1375,3.0
48655,5.0
43649,4.0
32077,3.0
16537,4.0
43761,5.0
22525,2.5
21579,4.0
11719,5.0
52821,3.0
3638,4.5
32907,3.5
7726,3.5
58806,5.0
28099,4.0
34228,2.0
54644,3.0
57458,5.0
34772,3.5
2543,3.5
15103,4.5
14320,5.0
17519,4.0
573,3.5
40310,3.5
29491,3.0
8937,4.5
5631,4.0
39872,3.0
32768,3.5
36922,4.0
37469,3.5
34863,4.0
56802,4.0
31471,4.0
3548,2.0
1923,4.5
2808,4.0
48445,4.0
21113,5.0
1013,3.0
47561,5.0
24562,5.0
28942,5.0
16345,4.0
38830,3.5
47003,4.0
40600,4.0
44555,5.0
37604,4.5
53342,4.0
489,3.0
59911,5.0
56154,3.0
8842,5.0
44785,4.0
16794,2.0
16150,5.0
25711,4.0
50775,3.0
8163,3.5
12458,1.0
16999,5.0
11485,3.0
8475,3.0
19581,4.0
7363,3.0
33527,3.5
3571,3.5
51083,4.0
42178,4.5
29159,3.0
3851,4.0
662,3.0
16709,3.0
35355,1.0
14421,4.5
1436,4.5
35460,3.0
59741,4.5
38462,4.0
43986,0.5
26677,3.0
52453,4.0
9584,5.0
391,3.5
43827,4.0
19537,4.0
45612,3.0
23998,5.0
22976,2.0
25826,3.5
5416,4.5
12035,3.0
39130,4.0
46670,3.0
23023,3.5
48276,4.0
19795,3.0
52669,3.5
57342,3.0
4842,5.0
43315,4.5
55145,4.0
25095,4.0
34857,4.0
58683,3.5
10972,4.5
32429,3.0
18856,5.0
21800,3.0
26954,5.0
13323,4.5
27731,4.0
2613,4.0
45957,5.0
45064,4.0
9449,1.0
8448,4.0
15121,5.0
18303,4.0
14313,2.0
18526,3.0
46792,3.0
46303,4.5
44423,3.5
22506,3.0
53941,2.5
13403,5.0
30015,4.5
10371,3.0
28317,4.0
58502,4.0
4059,3.0
20291,2.0
33542,4.0
32044,4.0
49961,3.0
43473,5.0
37591,5.0
25671,4.5
48,4.0
31301,1.5
6160,1.0
48148,1.0
19378,4.5
54665,2.5
44527,4.0
31546,3.0
24320,4.0
9677,1.0
52269,3.0
57070,3.0
51583,3.0
10180,3.0
51629,3.0
46805,3.0
10814,2.5
50894,5.0
7380,5.0
48774,3.0
35939,3.5
23033,3.0
14315,2.0
58183,3.5
46398,3.0
54125,4.0
33299,4.0
58887,5.0
45007,4.0
4635,3.5
36114,3.0
3496,5.0
36006,4.0
35039,4.5
25512,2.0
26844,5.0
22536,3.0
15325,4.0
30687,2.0
37763,3.0
30683,3.0
25285,2.0
33167,4.5
11472,1.0
47441,1.0
26229,4.5
17197,3.0
40706,5.0
37652,3.0
53630,4.0
17501,3.0
16970,4.0
310,3.0
34500,4.0
18683,4.0
19175,3.0
49791,4.0
42621,3.5
39702,3.5
38242,3.5
50221,1.0
814,5.0
28137,4.5
54555,4.0
6225,3.0
42108,4.5
21409,2.0
59265,3.0
28112,5.0
44525,2.5
224,4.0
48294,1.0
55343,4.0
964,3.0
34645,4.0
53586,5.0
36921,5.0
43682,3.0
42230,5.0
51735,3.0
30426,1.0
19619,1.5
5017,3.0
20922,2.5
38905,3.0
35692,3.5
31621,1.0
3082,4.0
8665,5.0
1270,3.0
9028,1.0
25904,5.0
43807,1.0
33104,3.0
55120,4.0
2352,3.0
26702,4.0
11408,2.0
55936,4.0
20487,2.5
56494,3.0
336,3.0
49643,5.0
55194,4.0
56780,3.5
27556,3.0
59495,3.5
23689,3.5
48470,3.0
59473,2.0
36912,4.5
15854,4.0
16834,4.0
46795,5.0
12808,5.0
31895,3.0
44005,4.0
18115,4.0
1741,3.5
27060,1.5
3077,4.5
34546,3.0
40429,2.5
17343,3.0
22046,4.0
50665,4.5
37083,3.0
4735,5.0
18531,2.0
45723,5.0
31260,4.0
49663,3.0
14906,5.0
891,1.0
41046,4.5
28335,4.5
56601,3.0
35511,4.0
30438,3.0
45902,3.0
17678,5.0
14461,3.5
41977,3.5
46049,2.0
43066,4.0
36212,3.5
43114,3.0
37967,4.5
40302,4.0
47416,4.0
28375,5.0
46941,4.5
7785,5.0
15502,4.0
56865,4.0
32420,2.0
20620,3.0
47307,3.5
27806,2.0
54943,4.0
6642,2.5
49901,2.0
4204,3.5
13887,3.0
27233,4.0
55100,4.5
28319,4.0
38669,2.0
12604,2.0
7326,4.0
11100,1.0
11402,5.0
46194,1.0
9870,4.5
18090,4.0
2786,4.0
15353,3.0
40992,3.0
34872,4.0
19172,3.0
17511,3.5
7957,2.5
3682,4.0
39131,3.0
59121,1.0
29192,5.0
40714,4.0
48866,4.0
44670,2.0
24395,2.5
19810,3.5
6248,3.5
43033,2.0
44569,5.0
50166,3.0
17766,0.5
34526,4.0
25962,3.5
11752,1.0
39706,3.0
53485,4.5
17184,4.0
3131,4.0
433,1.5
40381,3.5
6167,4.0
28678,2.0
19233,4.0
10781,4.5
15211,4.0
13957,5.0
16959,4.0
39352,3.5
55996,2.0
52348,3.0
47734,5.0
14538,2.5
24637,3.0
53478,4.0
6937,0.5
13241,2.0
26,4.5
1383,5.0
4192,4.0
39641,4.5
54406,3.5
10248,5.0
43944,3.0
57902,3.5
19482,3.5
52552,4.0
594,4.0
59475,4.0
30350,3.0
32171,4.0
47495,4.0
47207,3.5
41974,5.0
43789,4.0
3141,2.5
20185,5.0
7237,4.5
27850,3.0
57139,3.5
38017,3.0
15228,4.0
36054,3.0
3171,4.0
14407,3.0
20800,3.0
5138,3.5
2013,3.0
26728,4.0
38383,2.0
11258,3.5
11775,3.5
29941,4.0
25999,1.0
27558,4.5
22906,4.0
9709,3.0
34625,3.0
37947,3.5
49499,4.0
7534,2.0
31474,3.5
26294,5.0
31054,2.0
14778,3.0
30435,4.5
14154,5.0
39461,4.0
5989,3.0
5325,3.0
55776,2.0
44825,4.0
24470,3.5
51850,2.0
40820,5.0
28651,4.0
30319,4.0
2270,5.0
20342,3.5
8274,4.0
47246,3.5
2169,4.0
39438,1.5
23118,2.0
5674,4.5
13386,0.5
42265,1.0
49327,3.0
18549,4.5
23073,3.5
2161,3.0
4838,3.5
32248,0.5
21360,4.0
13498,5.0
18386,4.5
51723,3.0
22787,3.5
56219,5.0
1157,4.0
29215,1.5
23476,2.5
30984,5.0
28071,2.0
19696,4.5
34010,2.0
43070,4.0
8282,4.0
37233,4.0
25404,4.0
15159,3.0
26456,4.0
59131,4.5
44672,4.0
18831,4.0
8929,1.0
35966,4.0
16844,3.0
10234,2.0
22779,3.0
50824,1.0
54195,3.0
23112,3.0
17353,4.0
57973,5.0
9098,2.0
29375,4.5
43567,4.0
57704,3.0
20317,4.0
39140,3.0
58673,3.5
41982,5.0
1360,3.0
45009,5.0
2498,3.0
4032,3.0
51015,4.0
24156,5.0
28564,4.0
34119,3.0
10911,1.0
54463,4.0
20684,5.0
39450,4.0
13115,4.0
22133,4.5
47285,5.0
6451,4.0
44896,2.0
42144,2.5
6792,4.0
55538,1.0
9662,5.0
5648,4.0
49463,4.0
46863,5.0
37430,4.0
13367,3.5
6650,5.0
30056,1.0
27103,3.0
56067,1.0
9168,3.5
3033,3.0
9605,4.0
20892,3.0
4313,0.5
29976,3.0
18433,1.5
48994,4.0
10811,3.0
16416,2.5
15911,3.0
11939,2.5
20058,3.0
21721,3.0
37207,3.0
53860,3.0
723,1.0
38892,3.5
44437,2.5
26287,5.0
23477,4.0
47572,4.0
59866,3.5
34642,3.5
27922,4.0
40479,3.5
58383,2.0
26962,5.0
49980,3.5
8166,4.0
44925,4.0
24808,3.0
46900,3.5
20591,0.5
15015,4.0
51077,4.5
51653,4.0
41915,2.5
12779,4.0
19223,3.0
33904,2.0
15264,2.0
36481,3.5
30894,3.0
31016,4.5
14411,5.0
34749,4.0
21690,4.0
32850,4.0
29253,4.0
25662,4.0
24891,3.5
21545,4.5
20418,3.5
40382,3.0
27334,2.0
17476,3.0
19550,5.0
39538,3.0
23196,3.0
12150,3.5
3007,2.5
27712,4.0
32209,2.5
26241,4.0
35542,4.0
23103,4.0
2342,1.5
26318,0.5
15360,4.0
13355,4.0
11191,3.5
51699,4.0
47168,1.0
24851,4.5
12750,4.0
50076,4.0
45591,5.0
26431,3.0
35575,4.0
15504,4.0
44964,4.5
10070,5.0
27476,4.0
23935,3.5
9559,3.0
45743,3.0
46752,4.0
47548,4.5
30220,4.0
18028,5.0
22891,3.0
25575,5.0
12092,1.5
41224,4.0
30399,2.0
42081,4.0
53663,4.0
45884,4.0
21785,1.0
9463,4.5
41631,4.0
39612,3.0
19457,1.5
56072,4.5
51781,4.0
11251,5.0
37024,5.0
22073,3.0
27179,3.0
18961,3.0
47301,3.0
12484,4.0
20405,3.0
2714,3.0
46272,3.5
38673,5.0
35652,3.0
2855,2.0
47254,4.0
18069,2.0
52654,1.5
51028,4.0
30490,4.0
3816,3.5
59190,4.0
27404,5.0
49023,3.5
45608,2.0
52747,3.0
6109,4.0
36642,3.0
41960,3.0
52119,4.0
1123,5.0
22071,2.0
44008,5.0
53824,3.5
8563,4.0
17497,3.0
32372,4.0
39949,3.0
58813,4.5
37762,4.5
36400,2.5
18916,3.0
1424,4.0
39033,5.0
58863,4.0
24061,4.0
39420,5.0
49766,2.5
45205,4.0
42988,3.0
40402,3.5
25776,4.5
51544,5.0
11947,4.0
25048,4.0
11748,1.0
45863,4.0
26553,3.5
5476,4.0
43818,4.0
46482,1.0
52873,1.0
35867,3.0
37095,3.5
28493,5.0
9372,3.0
11860,5.0
50703,4.0
24495,5.0
57314,5.0
25526,4.0
27535,5.0
59718,5.0
15790,4.0
38473,5.0
27735,3.0
30009,2.0
43373,4.0
40200,4.0
57745,3.5
56201,3.0
46927,3.0
30802,5.0
55461,3.0
30796,2.5
55989,4.0
23253,2.5
2993,5.0
49417,4.0
40139,2.5
28394,5.0
42843,5.0
51178,4.0
9609,4.0
30827,4.0
15045,4.0
7930,4.0
28270,4.0
13407,4.0
54492,4.5
44738,4.5
49038,4.0
16977,5.0
113,4.0
30782,5.0
59959,4.5
11576,5.0
49213,3.5
28672,4.0
47189,2.5
16016,4.0
11224,4.5
34835,4.0
19777,3.0
53819,5.0
13602,3.0
22198,4.5
9806,5.0
39676,0.5
15770,2.5
24967,3.5
404,4.0
2745,3.0
22148,5.0
56950,4.0
39505,3.0
43909,3.0
14547,2.0
47047,4.0
58691,3.0
41059,3.0
15546,3.0
10200,3.0
37864,5.0
55195,5.0
55333,4.5
1846,4.0
27,5.0
57671,4.0
4372,4.0
18173,5.0
27759,3.0
2716,4.0
39335,1.5
23798,5.0
18819,3.5
34054,3.5
41618,4.0
56872,2.0
51993,3.0
52551,3.5
43579,4.0
56446,3.0
2812,1.0
59380,3.0
38216,4.0
35138,4.0
4623,3.5
36770,2.0
49222,2.0
4760,3.0
34173,5.0
28734,2.0
32898,3.0
12571,4.0
1714,3.0
8073,4.5
40118,2.0
40955,5.0
25626,4.0
59103,4.5
16932,3.0
16582,4.0
18513,3.0
1790,4.0
17541,4.0
50174,2.0
25350,4.0
28655,2.0
30915,3.0
33728,4.0
39373,2.0
18540,3.5
21804,3.0
